country,score,gdp_per_capita,social_support,health_life_expectancy,freedom,trust_government_corruption,generosity,region_Australia and New Zealand,region_Central and Eastern Europe,region_Eastern Asia,region_Latin America and Caribbean,region_Middle East and Northern Africa,region_North America,region_Southeastern Asia,region_Southern Asia,region_Sub-Saharan Africa,region_Western Europe,region_Western Europre,year_2015,year_2016,year_2017,year_2018,year_2019
Somaliland region,5.057,0.18847,0.95152,0.43873,0.46582,0.39928,0.50318,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
Morocco,5.013,0.73479,0.64095,0.60954,0.41691,0.08546,0.07172,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
Macedonia,5.007,0.91851,1.00232,0.73545,0.33457,0.05327,0.22359,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Mozambique,4.971,0.08308,1.02626,0.09131,0.34037,0.15603,0.22269,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
Albania,4.959,0.87867,0.80434,0.81325,0.35733,0.06413,0.14272,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Bosnia and Herzegovina,4.949,0.83223,0.91916,0.79081,0.09245,0.00227,0.24808,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Lesotho,4.898,0.37545,1.04103,0.07612,0.31767,0.12504,0.16388,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
Dominican Republic,4.885,0.89537,1.17202,0.66825,0.57672,0.14234,0.21684,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
Laos,4.876,0.59066,0.73803,0.54909,0.59591,0.24249,0.42192,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
Mongolia,4.874,0.82819,1.3006,0.60268,0.43626,0.02666,0.3323,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
Swaziland,4.867,0.71206,1.07284,0.07566,0.30658,0.0306,0.18259,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
Greece,4.857,1.15406,0.92933,0.88213,0.07699,0.01397,0.0,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False
Lebanon,4.839,1.02564,0.80001,0.83947,0.33916,0.04582,0.21854,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
Hungary,4.8,1.12094,1.20215,0.75905,0.32112,0.02758,0.128,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Honduras,4.788,0.59532,0.95348,0.6951,0.40148,0.06825,0.23027,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
Tajikistan,4.786,0.39047,0.85563,0.57379,0.47216,0.15072,0.22974,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Tunisia,4.739,0.88113,0.60429,0.73793,0.26268,0.06358,0.06431,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
Palestinian Territories,4.715,0.59867,0.92558,0.66015,0.24499,0.12905,0.11251,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
Bangladesh,4.694,0.39753,0.43106,0.60164,0.4082,0.12569,0.21222,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
Iran,4.686,1.0088,0.54447,0.69805,0.30033,0.05863,0.38086,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
Ukraine,4.681,0.79907,1.20278,0.6739,0.25123,0.02961,0.15275,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Iraq,4.677,0.98549,0.81889,0.60237,0.0,0.13788,0.17922,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
South Africa,4.642,0.92049,1.18468,0.27688,0.33207,0.08884,0.11973,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
Ghana,4.633,0.54558,0.67954,0.40132,0.42342,0.04355,0.23087,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
Zimbabwe,4.61,0.271,1.03276,0.33475,0.25861,0.08079,0.18987,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
Liberia,4.571,0.0712,0.78968,0.34201,0.28531,0.06232,0.24362,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
India,4.565,0.64499,0.38174,0.51529,0.39786,0.08492,0.26475,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
Sudan,4.55,0.52107,1.01404,0.36878,0.10081,0.1466,0.19062,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
Haiti,4.518,0.26673,0.74302,0.38847,0.24425,0.17175,0.46187,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
Congo (Kinshasa),4.517,0.0,1.0012,0.09806,0.22605,0.07625,0.24834,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
Nepal,4.514,0.35997,0.86449,0.56874,0.38282,0.05907,0.32296,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
Ethiopia,4.512,0.19073,0.60406,0.44055,0.4345,0.15048,0.24325,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
Sierra Leone,4.507,0.33024,0.95571,0.0,0.4084,0.08786,0.21488,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
Mauritania,4.436,0.45407,0.86908,0.35874,0.24232,0.17461,0.219,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
Kenya,4.419,0.36471,0.99876,0.41435,0.42215,0.05839,0.37542,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
Djibouti,4.369,0.44025,0.59207,0.36291,0.46074,0.28105,0.18093,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
Armenia,4.35,0.76821,0.77711,0.7299,0.19847,0.039,0.07855,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Botswana,4.332,0.99355,1.10464,0.04776,0.49495,0.12474,0.10461,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
Myanmar,4.307,0.27108,0.70905,0.48246,0.44017,0.19034,0.79588,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
Georgia,4.297,0.7419,0.38562,0.72926,0.40577,0.38331,0.05547,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
